metric,metricType,metricDisplayName,metricExplanatory,parentKPI,Category,SunburstCode,SunburstWeight,normalBottom,normalTop,lowBottom,lowTop,midBottom,midTop,highBottom,highTop
psRauResponsesPerGmmCauseCode,counter,Ps Rau Responses Per Gmm Cause Code,Number of ps Rau Responses Per Gmm Cause Code,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Ps Rau Responses Per Gmm Cause Code,2480.666667,,,,,,,,
usersPsRauResponsesPerRadioCauseCode,counter,Users Ps Rau Responses Per Radio Cause Code,Number of users Ps Rau Responses Per Radio Cause Code,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Users Ps Rau Responses Per Radio Cause Code,2480.666667,,,,,,,,
psRauResponsesWithRanapCause,counter,Ps Rau Responses With Ranap Cause,Number of ps Rau Responses With Ranap Cause,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Ps Rau Responses With Ranap Cause,2480.666667,,,,,,,,
usersPsRauResponsesPerBssgpCauseCode,counter,Users Ps Rau Responses Per Bssgp Cause Code,Number of users Ps Rau Responses Per Bssgp Cause Code,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Users Ps Rau Responses Per Bssgp Cause Code,2480.666667,,,,,,,,
psRauResponsesPerRanapCauseCode,counter,Ps Rau Responses Per Ranap Cause Code,Number of ps Rau Responses Per Ranap Cause Code,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Ps Rau Responses Per Ranap Cause Code,2480.666667,,,,,,,,
usersFailedPsRauResponsesWithRejectCause,counter,Users Failed Ps Rau Responses With Reject Cause,Number of users Failed Ps Rau Responses With Reject Cause,psRauSuccessRate,Mobility,Mobility-Routing Area Update Success Rate (%)-Users Failed Ps Rau Responses With Reject Cause,2480.666667,,,,,,,,
psTauWithResponseTimeThresholdViolation,counter,Ps Tau With Response Time Threshold Violation,Number of ps Tau With Response Time Threshold Violation,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Ps Tau With Response Time Threshold Violation,2480.666667,,,,,,,,
usersPsTauResponsePerDelay,counter,Users Ps Tau Response Per Delay,Number of users Ps Tau Response Per Delay,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Users Ps Tau Response Per Delay,2480.666667,,,,,,,,
psTauResponses,counter,Ps Tau Responses,Number of ps Tau Responses,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Ps Tau Responses,2480.666667,,,,,,,,
usersPsTauResponses,counter,Users Ps Tau Responses,Number of users Ps Tau Responses,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Users Ps Tau Responses,2480.666667,,,,,,,,
psTauResponsePerDelay,counter,Ps Tau Response Per Delay,Number of ps Tau Response Per Delay,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Ps Tau Response Per Delay,2480.666667,,,,,,,,
usersPsTauWithResponseTimeThresholdViolation,counter,Users Ps Tau With Response Time Threshold Violation,Number of users Ps Tau With Response Time Threshold Violation,psTauDelay,Mobility,Mobility-Tracking Area Update Delay (s)-Users Ps Tau With Response Time Threshold Violation,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithEmmEstablishmentCause,counter,Users Failed Ps Tau Responses With Emm Establishment Cause,Number of users Failed Ps Tau Responses With Emm Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With Emm Establishment Cause,2480.666667,,,,,,,,
failedPsTauResponsesWithHoCause,counter,Failed Ps Tau Responses With Ho Cause,Number of failed Ps Tau Responses With Ho Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Responses With Ho Cause,2480.666667,,,,,,,,
usersPsTauFailedResponses,counter,Users Ps Tau Failed Responses,Number of users Ps Tau Failed Responses,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Failed Responses,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithEsmCause,counter,Users Failed Ps Tau Responses With Esm Cause,Number of users Failed Ps Tau Responses With Esm Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With Esm Cause,2480.666667,,,,,,,,
psTauResponsesPerS1APCauseCode,counter,Ps Tau Responses Per S1 Ap Cause Code,Number of ps Tau Responses Per S1 AP Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per S1 Ap Cause Code,2480.666667,,,,,,,,
psTauResponsesWithHoCause,counter,Ps Tau Responses With Ho Cause,Number of ps Tau Responses With Ho Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses With Ho Cause,2480.666667,,,,,,,,
usersPsTauResponsesWithRrcEstablishmentCause,counter,Users Ps Tau Responses With Rrc Establishment Cause,Number of users Ps Tau Responses With Rrc Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With Rrc Establishment Cause,2480.666667,,,,,,,,
failedPsTauResponsesWithRrcEstablishmentCause,counter,Failed Ps Tau Responses With Rrc Establishment Cause,Number of failed Ps Tau Responses With Rrc Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Responses With Rrc Establishment Cause,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithRrcEstablishmentCause,counter,Users Failed Ps Tau Responses With Rrc Establishment Cause,Number of users Failed Ps Tau Responses With Rrc Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With Rrc Establishment Cause,2480.666667,,,,,,,,
psTauFailedResponses,counter,Ps Tau Failed Responses,Number of ps Tau Failed Responses,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Failed Responses,2480.666667,,,,,,,,
usersPsTauResponsesWithEsmCause,counter,Users Ps Tau Responses With Esm Cause,Number of users Ps Tau Responses With Esm Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With Esm Cause,2480.666667,,,,,,,,
usersPsTauResponses,counter,Users Ps Tau Responses,Number of users Ps Tau Responses,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses,2480.666667,,,,,,,,
psTauAttemptsWithTimeout,counter,Ps Tau Attempts With Timeout,Number of ps Tau Attempts With Timeout,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Attempts With Timeout,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithHoCause,counter,Users Failed Ps Tau Responses With Ho Cause,Number of users Failed Ps Tau Responses With Ho Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With Ho Cause,2480.666667,,,,,,,,
failedPsTauAttemptsEmm,counter,Failed Ps Tau Attempts Emm,Number of failed Ps Tau Attempts Emm,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Attempts Emm,2480.666667,,,,,,,,
psTauAttempts,counter,Ps Tau Attempts,Number of ps Tau Attempts,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Attempts,2480.666667,,,,,,,,
psTauResponsesWithEsmCause,counter,Ps Tau Responses With Esm Cause,Number of ps Tau Responses With Esm Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses With Esm Cause,2480.666667,,,,,,,,
usersPsTauResponsesWithEmmEstablishmentCause,counter,Users Ps Tau Responses With Emm Establishment Cause,Number of users Ps Tau Responses With Emm Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With Emm Establishment Cause,2480.666667,,,,,,,,
failedPsTauResponsesWithEsmCause,counter,Failed Ps Tau Responses With Esm Cause,Number of failed Ps Tau Responses With Esm Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Responses With Esm Cause,2480.666667,,,,,,,,
psTauAttemptsEmm,counter,Ps Tau Attempts Emm,Number of ps Tau Attempts Emm,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Attempts Emm,2480.666667,,,,,,,,
usersPsTauAttemptsWithTimeout,counter,Users Ps Tau Attempts With Timeout,Number of users Ps Tau Attempts With Timeout,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Attempts With Timeout,2480.666667,,,,,,,,
usersPsTauResponsesPerS1APCauseCode,counter,Users Ps Tau Responses Per S1 Ap Cause Code,Number of users Ps Tau Responses Per S1 AP Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per S1 Ap Cause Code,2480.666667,,,,,,,,
psTauResponsesPerErabCauseCode,counter,Ps Tau Responses Per Erab Cause Code,Number of ps Tau Responses Per Erab Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per Erab Cause Code,2480.666667,,,,,,,,
usersPsTauResponsesPerErabCauseCode,counter,Users Ps Tau Responses Per Erab Cause Code,Number of users Ps Tau Responses Per Erab Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per Erab Cause Code,2480.666667,,,,,,,,
usersPsTauResponsesWithHoCause,counter,Users Ps Tau Responses With Ho Cause,Number of users Ps Tau Responses With Ho Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With Ho Cause,2480.666667,,,,,,,,
usersPsTauResponsesPerEsmCauseCode,counter,Users Ps Tau Responses Per Esm Cause Code,Number of users Ps Tau Responses Per Esm Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per Esm Cause Code,2480.666667,,,,,,,,
psTauResponsesWithS1APCause,counter,Ps Tau Responses With S1 Ap Cause,Number of ps Tau Responses With S1 AP Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses With S1 Ap Cause,2480.666667,,,,,,,,
psTauResponsesPerEsmCauseCode,counter,Ps Tau Responses Per Esm Cause Code,Number of ps Tau Responses Per Esm Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per Esm Cause Code,2480.666667,,,,,,,,
usersPsTauResponsesPerHoCauseCode,counter,Users Ps Tau Responses Per Ho Cause Code,Number of users Ps Tau Responses Per Ho Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per Ho Cause Code,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithErabCause,counter,Users Failed Ps Tau Responses With Erab Cause,Number of users Failed Ps Tau Responses With Erab Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With Erab Cause,2480.666667,,,,,,,,
psTauResponsesWithRrcEstablishmentCause,counter,Ps Tau Responses With Rrc Establishment Cause,Number of ps Tau Responses With Rrc Establishment Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses With Rrc Establishment Cause,2480.666667,,,,,,,,
usersPsTauResponsesWithS1APCause,counter,Users Ps Tau Responses With S1 Ap Cause,Number of users Ps Tau Responses With S1 AP Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With S1 Ap Cause,2480.666667,,,,,,,,
psTauResponsesPerHoCauseCode,counter,Ps Tau Responses Per Ho Cause Code,Number of ps Tau Responses Per Ho Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per Ho Cause Code,2480.666667,,,,,,,,
failedPsTauResponsesWithErabCause,counter,Failed Ps Tau Responses With Erab Cause,Number of failed Ps Tau Responses With Erab Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Responses With Erab Cause,2480.666667,,,,,,,,
usersPsTauResponsesPerEmmEstablishmentCauseCode,counter,Users Ps Tau Responses Per Emm Establishment Cause Code,Number of users Ps Tau Responses Per Emm Establishment Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per Emm Establishment Cause Code,2480.666667,,,,,,,,
usersPsTauAttempts,counter,Users Ps Tau Attempts,Number of users Ps Tau Attempts,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Attempts,2480.666667,,,,,,,,
psTauResponsesPerRrcEstablishmentCauseCode,counter,Ps Tau Responses Per Rrc Establishment Cause Code,Number of ps Tau Responses Per Rrc Establishment Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per Rrc Establishment Cause Code,2480.666667,,,,,,,,
psTauResponsesWithErabCause,counter,Ps Tau Responses With Erab Cause,Number of ps Tau Responses With Erab Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses With Erab Cause,2480.666667,,,,,,,,
failedPsTauResponsesWithS1APCause,counter,Failed Ps Tau Responses With S1 Ap Cause,Number of failed Ps Tau Responses With S1 AP Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Failed Ps Tau Responses With S1 Ap Cause,2480.666667,,,,,,,,
usersPsTauResponsesWithErabCause,counter,Users Ps Tau Responses With Erab Cause,Number of users Ps Tau Responses With Erab Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses With Erab Cause,2480.666667,,,,,,,,
usersFailedPsTauResponsesWithS1APCause,counter,Users Failed Ps Tau Responses With S1 Ap Cause,Number of users Failed Ps Tau Responses With S1 AP Cause,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Failed Ps Tau Responses With S1 Ap Cause,2480.666667,,,,,,,,
psTauResponses,counter,Ps Tau Responses,Number of ps Tau Responses,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses,2480.666667,,,,,,,,
usersPsTauResponsesPerRrcEstablishmentCauseCode,counter,Users Ps Tau Responses Per Rrc Establishment Cause Code,Number of users Ps Tau Responses Per Rrc Establishment Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Users Ps Tau Responses Per Rrc Establishment Cause Code,2480.666667,,,,,,,,
psTauResponsesPerEmmEstablishmentCauseCode,counter,Ps Tau Responses Per Emm Establishment Cause Code,Number of ps Tau Responses Per Emm Establishment Cause Code,psTauSuccessRate,Mobility,Mobility-Tracking Area Update Success Rate (%)-Ps Tau Responses Per Emm Establishment Cause Code,2480.666667,,,,,,,,
usersPsAttachWithResponseTimeThresholdViolation,counter,Users Ps Attach With Response Time Threshold Violation,Number of users Ps Attach With Response Time Threshold Violation,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Users Ps Attach With Response Time Threshold Violation,1440.387097,,,,,,,,
psAttachWithResponseTimeThresholdViolation,counter,Ps Attach With Response Time Threshold Violation,Number of ps Attach With Response Time Threshold Violation,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Ps Attach With Response Time Threshold Violation,1440.387097,,,,,,,,
psAttachResponses,counter,Ps Attach Responses,Number of ps Attach Responses,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Ps Attach Responses,1440.387097,,,,,,,,
psAttachResponsePerDelay,counter,Ps Attach Response Per Delay,Number of ps Attach Response Per Delay,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Ps Attach Response Per Delay,1440.387097,,,,,,,,
usersPsAttachResponses,counter,Users Ps Attach Responses,Number of users Ps Attach Responses,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Users Ps Attach Responses,1440.387097,,,,,,,,
usersPsAttachResponsePerDelay,counter,Users Ps Attach Response Per Delay,Number of users Ps Attach Response Per Delay,psAttachDelay,Network Accessibility,Network Accessibility-PS Attachnent Delay (ms)-Users Ps Attach Response Per Delay,1440.387097,,,,,,,,
usersPsAttachAttemptsWithTimeout,counter,Users Ps Attach Attempts With Timeout,Number of users Ps Attach Attempts With Timeout,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Attempts With Timeout,1440.387097,,,,,,,,
usersPsAttachResponsesWithHoCause,counter,Users Ps Attach Responses With Ho Cause,Number of users Ps Attach Responses With Ho Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Ho Cause,1440.387097,,,,,,,,
psAttachResponsesWithHoCause,counter,Ps Attach Responses With Ho Cause,Number of ps Attach Responses With Ho Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Ho Cause,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithEmmEstablishmentCause,counter,Users Failed Ps Attach Responses With Emm Establishment Cause,Number of users Failed Ps Attach Responses With Emm Establishment Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With Emm Establishment Cause,1440.387097,,,,,,,,
failedpsAttachResponsesWithEmmEstablishmentCause,counter,Failedps Attach Responses With Emm Establishment Cause,Number of failedps Attach Responses With Emm Establishment Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failedps Attach Responses With Emm Establishment Cause,1440.387097,,,,,,,,
usersPsAttachResponsesWithEmmEstablishmentCause,counter,Users Ps Attach Responses With Emm Establishment Cause,Number of users Ps Attach Responses With Emm Establishment Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Emm Establishment Cause,1440.387097,,,,,,,,
psAttachResponsesWithEmmEstablishmentCause,counter,Ps Attach Responses With Emm Establishment Cause,Number of ps Attach Responses With Emm Establishment Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Emm Establishment Cause,1440.387097,,,,,,,,
psAttachResponsesPerRejectCauseCode,counter,Ps Attach Responses Per Reject Cause Code,Number of ps Attach Responses Per Reject Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses Per Reject Cause Code,1440.387097,,,,,,,,
usersPsAttachResponsesPerRejectCauseCode,counter,Users Ps Attach Responses Per Reject Cause Code,Number of users Ps Attach Responses Per Reject Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses Per Reject Cause Code,1440.387097,,,,,,,,
failedPsAttachResponsesWithHoCause,counter,Failed Ps Attach Responses With Ho Cause,Number of failed Ps Attach Responses With Ho Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Ho Cause,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithHoCause,counter,Users Failed Ps Attach Responses With Ho Cause,Number of users Failed Ps Attach Responses With Ho Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With Ho Cause,1440.387097,,,,,,,,
usersPsAttachResponsesPerGmmCauseCode,counter,Users Ps Attach Responses Per Gmm Cause Code,Number of users Ps Attach Responses Per Gmm Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses Per Gmm Cause Code,1440.387097,,,,,,,,
psAttachResponsesPerGmmCauseCode,counter,Ps Attach Responses Per Gmm Cause Code,Number of ps Attach Responses Per Gmm Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses Per Gmm Cause Code,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithEsmCause,counter,Users Failed Ps Attach Responses With Esm Cause,Number of users Failed Ps Attach Responses With Esm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With Esm Cause,1440.387097,,,,,,,,
failedPsAttachResponsesWithEsmCause,counter,Failed Ps Attach Responses With Esm Cause,Number of failed Ps Attach Responses With Esm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Esm Cause,1440.387097,,,,,,,,
psAttachResponsesPerRabCauseCode,counter,Ps Attach Responses Per Rab Cause Code,Number of ps Attach Responses Per Rab Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses Per Rab Cause Code,1440.387097,,,,,,,,
psAttachResponsesPerS1APCauseCode,counter,Ps Attach Responses Per S1 Ap Cause Code,Number of ps Attach Responses Per S1 AP Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses Per S1 Ap Cause Code,1440.387097,,,,,,,,
usersPsAttachResponsesWithEsmCause,counter,Users Ps Attach Responses With Esm Cause,Number of users Ps Attach Responses With Esm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Esm Cause,1440.387097,,,,,,,,
psAttachResponsesWithEsmCause,counter,Ps Attach Responses With Esm Cause,Number of ps Attach Responses With Esm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Esm Cause,1440.387097,,,,,,,,
usersPsAttachResponsesWithErabCause,counter,Users Ps Attach Responses With Erab Cause,Number of users Ps Attach Responses With Erab Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Erab Cause,1440.387097,,,,,,,,
psAttachResponsesWithErabCause,counter,Ps Attach Responses With Erab Cause,Number of ps Attach Responses With Erab Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Erab Cause,1440.387097,,,,,,,,
usersPsAttachResponsesPerS1APCauseCode,counter,Users Ps Attach Responses Per S1 Ap Cause Code,Number of users Ps Attach Responses Per S1 AP Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses Per S1 Ap Cause Code,1440.387097,,,,,,,,
usersPsAttachResponsesPerBssgpCauseCode,counter,Users Ps Attach Responses Per Bssgp Cause Code,Number of users Ps Attach Responses Per Bssgp Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses Per Bssgp Cause Code,1440.387097,,,,,,,,
failedPsAttachResponsesWithErabCause,counter,Failed Ps Attach Responses With Erab Cause,Number of failed Ps Attach Responses With Erab Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Erab Cause,1440.387097,,,,,,,,
psAttachAttemptsWithTimeout,counter,Ps Attach Attempts With Timeout,Number of ps Attach Attempts With Timeout,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Attempts With Timeout,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithErabCause,counter,Users Failed Ps Attach Responses With Erab Cause,Number of users Failed Ps Attach Responses With Erab Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With Erab Cause,1440.387097,,,,,,,,
psAttachResponsesWithSuspendResumeCause,counter,Ps Attach Responses With Suspend Resume Cause,Number of ps Attach Responses With Suspend Resume Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersPsAttachResponsesWithSuspendResumeCause,counter,Users Ps Attach Responses With Suspend Resume Cause,Number of users Ps Attach Responses With Suspend Resume Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersPsAttachFailedResponses,counter,Users Ps Attach Failed Responses,Number of users Ps Attach Failed Responses,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Failed Responses,1440.387097,,,,,,,,
psAttachResponsesPerBssgpCauseCode,counter,Ps Attach Responses Per Bssgp Cause Code,Number of ps Attach Responses Per Bssgp Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses Per Bssgp Cause Code,1440.387097,,,,,,,,
usersPsAttachResponsesPerRabCauseCode,counter,Users Ps Attach Responses Per Rab Cause Code,Number of users Ps Attach Responses Per Rab Cause Code,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses Per Rab Cause Code,1440.387097,,,,,,,,
failedPsAttachResponsesWithRadioCause,counter,Failed Ps Attach Responses With Radio Cause,Number of failed Ps Attach Responses With Radio Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Radio Cause,1440.387097,,,,,,,,
failedPsAttachResponsesWithSuspendResumeCause,counter,Failed Ps Attach Responses With Suspend Resume Cause,Number of failed Ps Attach Responses With Suspend Resume Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithS1APCause,counter,Users Failed Ps Attach Responses With S1 Ap Cause,Number of users Failed Ps Attach Responses With S1 AP Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With S1 Ap Cause,1440.387097,,,,,,,,
psAttachResponsesWithBssgpCause,counter,Ps Attach Responses With Bssgp Cause,Number of ps Attach Responses With Bssgp Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Bssgp Cause,1440.387097,,,,,,,,
usersPsAttachResponsesWithBssgpCause,counter,Users Ps Attach Responses With Bssgp Cause,Number of users Ps Attach Responses With Bssgp Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Bssgp Cause,1440.387097,,,,,,,,
failedPsAttachResponsesWithBssgpCause,counter,Failed Ps Attach Responses With Bssgp Cause,Number of failed Ps Attach Responses With Bssgp Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Failed Ps Attach Responses With Bssgp Cause,1440.387097,,,,,,,,
usersFailedPsAttachResponsesWithBssgpCause,counter,Users Failed Ps Attach Responses With Bssgp Cause,Number of users Failed Ps Attach Responses With Bssgp Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Failed Ps Attach Responses With Bssgp Cause,1440.387097,,,,,,,,
psAttachResponsesWithGmmCause,counter,Ps Attach Responses With Gmm Cause,Number of ps Attach Responses With Gmm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Ps Attach Responses With Gmm Cause,1440.387097,,,,,,,,
usersPsAttachResponsesWithGmmCause,counter,Users Ps Attach Responses With Gmm Cause,Number of users Ps Attach Responses With Gmm Cause,psAttachSuccessRate,Network Accessibility,Network Accessibility-PS Attachment Success Rate (%)-Users Ps Attach Responses With Gmm Cause,1440.387097,,,,,,,,
